candidate_id,candidate_regime,validator_regime,mapping,trigger_samples,current_surviving_samples,current_validation_status,simulated_surviving_samples,simulated_validation_outcome,simulated_backtest_classification,classification_delta,improvement,simulated_expectancy,simulated_profit_factor,simulated_replay_score
ptc_backtest_final_469607b8340421b7,CHOP,RANGE_BOUND,A_CHOP_TO_RANGE_BOUND,1049,0,INSUFFICIENT_DATA,146,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005888,2.691779,0.783383
ptc_backtest_final_469607b8340421b7,CHOP,LOW_VOLATILITY,B_CHOP_TO_LOW_VOLATILITY,1049,0,INSUFFICIENT_DATA,1,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA -> INSUFFICIENT_DATA,PARTIAL IMPROVEMENT,-0.005369,0.0,0.080972
ptc_backtest_final_469607b8340421b7,CHOP,LOW_VOLATILITY;RANGE_BOUND,C_CHOP_TO_RANGE_BOUND_OR_LOW_VOLATILITY,1049,0,INSUFFICIENT_DATA,147,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005812,2.663637,0.70698
ptc_backtest_final_469607b8340421b7,CHOP,NO_APPLICABLE_MAPPING,D_TREND_TO_TRENDING,1049,0,INSUFFICIENT_DATA,0,NO_CHANGE,NOT_APPLICABLE,INSUFFICIENT_DATA -> NO_CHANGE,NO IMPROVEMENT,,,
ptc_backtest_final_469607b8340421b7,CHOP,RANGE_BOUND,E_HIGHEST_CONFIDENCE_CROSSWALK,1049,0,INSUFFICIENT_DATA,146,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005888,2.691779,0.783383
ptc_backtest_final_3a4ac24107c77136,CHOP,RANGE_BOUND,A_CHOP_TO_RANGE_BOUND,1049,0,INSUFFICIENT_DATA,146,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005888,2.691779,0.783383
ptc_backtest_final_3a4ac24107c77136,CHOP,LOW_VOLATILITY,B_CHOP_TO_LOW_VOLATILITY,1049,0,INSUFFICIENT_DATA,1,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA -> INSUFFICIENT_DATA,PARTIAL IMPROVEMENT,-0.005369,0.0,0.080972
ptc_backtest_final_3a4ac24107c77136,CHOP,LOW_VOLATILITY;RANGE_BOUND,C_CHOP_TO_RANGE_BOUND_OR_LOW_VOLATILITY,1049,0,INSUFFICIENT_DATA,147,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005812,2.663637,0.70698
ptc_backtest_final_3a4ac24107c77136,CHOP,NO_APPLICABLE_MAPPING,D_TREND_TO_TRENDING,1049,0,INSUFFICIENT_DATA,0,NO_CHANGE,NOT_APPLICABLE,INSUFFICIENT_DATA -> NO_CHANGE,NO IMPROVEMENT,,,
ptc_backtest_final_3a4ac24107c77136,CHOP,RANGE_BOUND,E_HIGHEST_CONFIDENCE_CROSSWALK,1049,0,INSUFFICIENT_DATA,146,CONFIRMED,BACKTEST_SUPPORTED,INSUFFICIENT_DATA -> CONFIRMED,EXACT IMPROVEMENT,0.005888,2.691779,0.783383
